,Country,City,Cloudiness (%),Lat,Lon,Humidity (%),Wind Speed (mph),Temp Min,Temp Max,Date
0,EC,Puerto Ayora,40,-0.74,-90.35,69,14.99,69.01,77.0,1603576654
1,RU,Talnakh,75,69.49,88.4,92,11.18,14.0,14.0,1603576655
2,PF,Moerai,58,-22.43,-151.33,77,19.06,72.72,72.72,1603576656
3,ZA,Saldanha,7,-33.01,17.94,82,6.93,62.6,62.6,1603576657
4,NZ,Bluff,89,-46.6,168.33,53,14.0,73.99,73.99,1603576659
5,UY,Chui,21,-33.7,-53.46,95,6.15,63.82,63.82,1603576660
6,CK,Avarua,52,-21.21,-159.78,69,16.11,77.0,77.0,1603576661
7,US,Saint Paul Harbor,20,57.79,-152.41,87,6.93,46.4,46.4,1603576662
8,PK,Pindi Gheb,0,33.24,72.27,67,4.7,59.0,59.0,1603576663
9,ZA,Port Alfred,8,-33.59,26.89,89,5.37,65.66,65.66,1603576664
10,MX,Guerrero Negro,16,27.98,-114.06,63,17.63,72.9,72.9,1603576665
11,IN,Kumta,19,14.42,74.4,84,7.34,75.9,75.9,1603576667
12,AU,Moree,75,-29.47,149.85,77,11.27,66.2,66.2,1603576668
13,US,Barrow,90,71.29,-156.79,92,12.75,30.2,30.2,1603576489
14,AU,Kiama,98,-34.68,150.87,80,3.0,55.0,57.99,1603576670
15,CU,Santa Cruz del Sur,100,20.71,-78.0,83,10.92,79.63,79.63,1603576671
16,MU,Mahébourg,75,-20.41,57.7,88,12.75,71.6,71.6,1603576673
17,US,Albany,37,42.6,-73.97,71,14.0,48.0,51.01,1603576625
18,RU,Lavrentiya,56,65.58,-171.0,87,7.23,33.75,33.75,1603576675
19,RU,Kungurtug,92,50.6,97.52,95,4.07,30.85,30.85,1603576676
20,ZA,Bredasdorp,1,-34.53,20.04,82,11.41,64.4,64.4,1603576677
21,ZA,Hermanus,29,-34.42,19.23,90,1.99,62.01,62.01,1603576678
22,AU,Busselton,53,-33.65,115.33,49,10.6,50.0,59.0,1603576679
23,CL,Valparaíso,0,-33.04,-71.63,55,9.17,59.0,62.6,1603576680
24,AU,Hobart,40,-42.88,147.33,61,13.87,44.01,48.0,1603576525
25,MU,Bambous Virieux,75,-20.34,57.76,88,12.75,69.01,71.6,1603576683
26,NC,Poum,0,-20.23,164.02,78,18.68,77.95,77.95,1603576684
27,RU,Aykhal,40,66.0,111.5,92,4.47,10.4,10.4,1603576685
28,MX,Zihuatanejo,5,17.63,-101.55,63,8.05,91.4,91.4,1603576686
29,RU,Pevek,0,69.7,170.31,92,13.11,26.71,26.71,1603576687
30,AR,Ushuaia,75,-54.8,-68.3,57,13.87,48.2,48.2,1603576688
31,IT,Syracuse,0,37.09,15.28,93,8.05,62.6,64.99,1603576689
32,CV,São Filipe,96,14.9,-24.5,73,10.71,81.55,81.55,1603576690
33,ID,Atambua,14,-9.11,124.89,83,1.68,76.75,76.75,1603576691
34,MX,Petatlán,5,17.52,-101.27,63,8.05,91.4,91.4,1603576693
35,JP,Nara,20,34.69,135.8,87,8.05,46.4,53.01,1603576694
36,MN,Ulaangom,1,49.98,92.07,77,12.62,28.9,28.9,1603576695
37,CD,Inongo,100,-1.95,18.27,95,3.71,72.1,72.1,1603576696
38,RU,Kem',44,64.96,34.58,97,8.23,26.46,26.46,1603576697
39,BR,Saquarema,90,-22.92,-42.51,100,13.87,69.8,69.8,1603576403
40,PF,Atuona,1,-9.8,-139.03,76,23.11,78.53,78.53,1603576617
41,ID,Nabire,99,-3.37,135.48,82,3.2,77.76,77.76,1603576700
42,NZ,Mataura,94,-46.19,168.86,53,14.0,73.99,73.99,1603576701
43,AO,Malanje,48,-9.54,16.34,96,2.53,65.44,65.44,1603576703
44,GB,Brae,79,60.4,-1.35,81,10.29,50.0,50.0,1603576704
45,CL,Ancud,90,-41.87,-73.82,87,12.75,39.99,52.0,1603576705
46,RU,Ekhabi,0,53.51,142.97,93,2.08,39.56,39.56,1603576706
47,RU,Saskylakh,100,71.92,114.08,95,21.47,14.47,14.47,1603576707
48,RU,Provideniya,78,64.38,-173.3,87,15.05,34.56,34.56,1603576708
49,RE,Saint-Philippe,0,-21.36,55.77,60,5.82,57.99,71.6,1603576709
50,PF,Rikitea,88,-23.12,-134.97,83,22.82,74.7,74.7,1603576711
51,MA,Tiznit Province,1,29.58,-9.5,54,1.19,66.18,66.18,1603576712
52,RU,Lysyye Gory,100,51.55,44.84,74,3.31,51.39,51.39,1603576713
53,RU,Zhigalovo,100,54.81,105.16,90,0.47,34.97,34.97,1603576714
54,AU,New Norfolk,4,-42.78,147.06,61,1.99,42.01,48.0,1603576571
55,US,Sitka,40,57.05,-135.33,52,1.7,42.8,42.8,1603576716
56,PF,Tiarei,75,-17.53,-149.33,69,6.93,82.0,82.4,1603576717
57,US,Jamestown,90,42.1,-79.24,80,5.82,39.2,43.0,1603576718
58,CA,Yellowknife,40,62.46,-114.35,58,9.17,25.0,26.6,1603576720
59,CA,Inuvik,75,68.35,-133.72,58,2.24,24.8,24.8,1603576721
60,IN,Dwārka,1,22.24,68.97,58,6.26,81.91,81.91,1603576722
61,FI,Tornio,0,65.85,24.15,92,1.12,26.6,26.6,1603576723
62,GL,Tasiilaq,97,65.61,-37.64,92,3.04,32.0,32.0,1603576724
63,US,Pacific Grove,40,36.62,-121.92,63,6.93,64.0,69.01,1603576591
64,CN,Shenzhen,99,22.55,114.07,68,1.01,61.0,75.0,1603576726
65,CL,Constitución,100,-35.33,-72.42,79,16.13,55.18,55.18,1603576727
66,GL,Qaanaaq,100,77.48,-69.36,91,13.04,17.28,17.28,1603576728
67,RU,Chokurdakh,100,70.63,147.92,97,7.38,15.69,15.69,1603576730
68,KI,Butaritari,15,3.07,172.79,66,6.76,81.95,81.95,1603576597
69,CL,Punta Arenas,90,-53.15,-70.92,93,13.87,42.01,42.8,1603576616
70,NA,Oranjemund,15,-28.55,16.43,92,7.7,59.27,59.27,1603576733
71,US,Wilbraham,40,42.12,-72.43,55,16.11,55.99,62.6,1603576734
72,PG,Lorengau,15,-2.02,147.27,61,6.04,84.38,84.38,1603576735
73,JP,Wajima,86,37.4,136.9,59,18.12,57.78,57.78,1603576736
74,BR,Arraial do Cabo,90,-22.97,-42.03,100,13.87,69.8,69.8,1603576737
75,BG,Gabrovo,100,42.87,25.33,86,0.54,52.0,55.99,1603576738
76,CN,Fuling,98,29.7,107.39,58,2.33,62.29,62.29,1603576740
77,CA,Sioux Lookout,75,50.1,-91.92,58,3.36,28.4,28.4,1603576650
78,RU,Deputatsky,0,69.3,139.9,90,10.36,8.94,8.94,1603576742
79,US,Kapaa,40,22.08,-159.32,69,14.99,81.0,84.99,1603576743
80,JP,Nemuro,69,43.32,145.57,66,24.34,50.7,50.7,1603576744
81,BR,Touros,40,-5.2,-35.46,83,9.17,78.8,78.8,1603576540
82,TO,Vaini,90,-21.2,-175.2,88,11.41,75.2,75.2,1603576746
83,CA,Ucluelet,20,48.93,-125.55,46,3.36,50.0,52.0,1603576723
84,RU,Mago,100,53.25,140.18,87,16.84,44.13,44.13,1603576748
85,MY,George Town,20,5.41,100.34,88,3.36,78.01,78.8,1603576750
86,PE,Hualmay,26,-11.1,-77.61,75,9.57,66.2,66.2,1603576751
87,VE,San Carlos,99,9.66,-68.58,89,1.48,77.63,77.63,1603576637
88,GL,Upernavik,100,72.79,-56.15,95,10.67,22.78,22.78,1603576753
89,CA,Thompson,90,55.74,-97.86,62,9.17,24.8,24.8,1603576754
90,RU,Zhigansk,100,66.77,123.37,97,25.41,21.02,21.02,1603576755
91,CA,Pangnirtung,95,66.15,-65.71,90,4.94,18.37,18.37,1603576757
92,US,Santa Paula,72,34.35,-119.06,72,3.0,64.99,70.0,1603576743
93,US,Nome,90,64.5,-165.41,96,11.41,35.6,36.0,1603576701
94,PW,Kloulklubed,100,7.04,134.26,70,6.44,84.0,84.0,1603576760
95,TG,Atakpamé,73,7.53,1.13,84,3.85,74.7,74.7,1603576761
96,JP,Naze,40,28.37,129.48,63,6.93,66.2,69.8,1603576762
97,AR,Mar del Plata,90,-38.0,-57.56,93,6.93,57.99,60.8,1603576725
98,US,Bethel,95,41.37,-73.41,74,10.45,55.99,57.99,1603576477
99,NO,Vardø,100,70.37,31.11,76,22.59,39.45,39.45,1603576766
100,MV,Hithadhoo,45,-0.6,73.08,74,10.76,83.3,83.3,1603576767
101,BR,Conde,75,-7.26,-34.91,83,8.05,78.8,78.8,1603576768
102,CA,Port Hawkesbury,90,45.62,-61.35,93,8.05,53.6,54.0,1603576769
103,US,Russell,40,32.35,-85.2,94,2.68,68.0,69.8,1603576714
104,SA,Faya,0,18.39,42.45,19,3.27,60.8,62.6,1603576771
105,JP,Katsuura,75,35.13,140.3,54,13.87,57.0,57.99,1603576484
106,MU,Grand Gaube,35,-20.01,57.66,88,5.99,69.01,69.01,1603576773
107,GL,Nanortalik,15,60.14,-45.24,90,10.04,32.45,32.45,1603576774
108,RU,Nadym,82,65.53,72.52,95,8.55,14.4,14.4,1603576776
109,PT,Ponta do Sol,20,32.67,-17.1,63,9.17,59.0,66.2,1603576777
110,PH,Buluang,100,13.31,123.34,89,4.94,77.63,77.63,1603576778
111,US,Saint George,1,37.1,-113.58,31,3.36,75.2,80.01,1603576779
112,MU,Souillac,75,-20.52,57.52,88,12.75,71.6,71.6,1603576780
113,BR,Castro,73,-24.79,-50.01,89,4.34,64.31,64.31,1603576692
114,JP,Shimokizukuri,75,40.81,140.39,61,16.11,48.2,55.0,1603576782
115,RU,Turukhansk,100,65.82,87.98,95,5.26,8.85,8.85,1603576783
116,MX,Cabo San Lucas,20,22.89,-109.91,58,9.17,87.8,90.0,1603576571
117,RU,Belaya Gora,100,68.53,146.42,94,5.08,15.55,15.55,1603576786
118,ES,Muros,93,42.78,-9.06,90,25.99,61.0,62.01,1603576787
119,CA,Tuktoyaktuk,75,69.45,-133.04,92,4.7,15.8,15.8,1603576788
120,RU,Vostok,100,46.49,135.88,100,4.79,27.7,27.7,1603576789
121,RU,Khatanga,100,71.97,102.5,95,14.85,6.8,6.8,1603576790
122,RU,Igrim,100,63.19,64.42,93,9.44,25.16,25.16,1603576791
123,CA,Torbay,90,47.67,-52.73,93,26.4,46.0,48.99,1603576792
124,ZA,Cape Town,20,-33.93,18.42,93,3.36,57.0,61.0,1603576498
125,AU,Geraldton,0,-28.77,114.6,87,4.7,51.8,51.8,1603576794
126,PK,Uthal,0,25.81,66.62,42,0.47,72.55,72.55,1603576795
127,LK,Hambantota,0,6.12,81.12,94,4.7,77.0,77.0,1603576797
128,RU,Vanavara,97,60.34,102.28,98,3.58,24.13,24.13,1603576798
129,RU,Ust'-Ilimsk,100,58.0,102.66,97,2.77,29.3,29.3,1603576799
130,RU,Strezhevoy,90,60.73,77.59,85,6.71,23.0,23.0,1603576800
131,NU,Alofi,100,-19.06,-169.92,94,14.99,75.2,75.2,1603576801
132,CL,Coyhaique,40,-45.58,-72.07,41,4.7,57.2,57.2,1603576803
133,CA,Hanna,94,51.63,-111.9,65,11.99,18.0,18.0,1603576804
134,NZ,Tuatapere,97,-46.13,167.68,53,14.0,73.99,73.99,1603576806
135,RU,Kondinskoye,100,59.65,67.41,98,12.46,26.19,26.19,1603576808
136,IN,Songadh,31,21.17,73.57,55,2.93,72.9,72.9,1603576810
137,PE,Sechura,24,-5.56,-80.82,60,18.16,71.44,71.44,1603576811
138,CL,Lebu,32,-37.62,-73.65,74,7.4,53.71,53.71,1603576813
139,US,Mayo,90,38.89,-76.51,88,6.93,69.01,71.01,1603576814
140,GA,Port-Gentil,40,-0.72,8.78,88,6.93,78.8,78.8,1603576816
141,BR,São João da Barra,90,-21.64,-41.05,94,9.17,73.4,73.4,1603576817
142,FO,Klaksvík,2,62.23,-6.59,81,16.11,46.4,46.4,1603576818
143,US,Hilo,90,19.73,-155.09,70,11.41,75.99,84.2,1603576706
144,SB,Auki,9,-8.77,160.7,68,2.86,84.65,84.65,1603576820
145,KE,Lamu,1,-2.27,40.9,83,6.93,78.8,78.8,1603576822
146,US,Washington,2,47.5,-120.5,73,3.38,35.01,39.99,1603576641
147,EG,Rosetta,40,31.4,30.42,83,4.7,69.8,69.8,1603576825
148,RU,Borogontsy,21,62.67,131.17,95,2.3,5.88,5.88,1603576826
149,US,Big Spring,1,32.25,-101.48,37,10.29,71.01,71.6,1603576827
150,RU,Nikolskoye,40,59.7,30.79,93,2.24,37.4,39.0,1603576829
